date_id,date,month,quarter,year
1,2024-02-02,April,Q2,2024
2,2024-05-31,December,Q4,2024
3,2024-10-09,April,Q2,2024
4,2024-01-09,May,Q1,2024
5,2024-03-01,June,Q3,2024
6,2024-01-24,September,Q3,2024
7,2024-07-26,October,Q1,2024
8,2024-03-18,December,Q4,2024
9,2024-07-26,April,Q4,2024
10,2024-02-08,February,Q4,2024
11,2024-06-07,November,Q4,2024
12,2024-10-12,July,Q2,2024
13,2024-02-07,November,Q1,2024
14,2024-06-16,June,Q4,2024
15,2024-08-11,October,Q1,2024
16,2024-06-30,July,Q3,2024
17,2024-04-18,April,Q2,2024
18,2024-09-11,December,Q4,2024
19,2024-09-10,November,Q3,2024
20,2024-06-21,February,Q2,2024
21,2024-08-19,April,Q1,2024
22,2024-06-06,May,Q2,2024
23,2024-02-26,November,Q4,2024
24,2024-06-28,May,Q2,2024
25,2024-04-09,September,Q3,2024
26,2024-01-08,May,Q4,2024
27,2024-08-06,April,Q3,2024
28,2024-02-21,July,Q1,2024
29,2024-05-27,December,Q4,2024
30,2024-01-24,March,Q4,2024
31,2024-10-02,January,Q1,2024
32,2024-03-13,January,Q3,2024
33,2024-02-24,November,Q4,2024
34,2024-02-06,June,Q1,2024
35,2024-01-08,October,Q4,2024
36,2024-03-08,December,Q3,2024
37,2024-03-19,February,Q3,2024
38,2024-02-26,July,Q2,2024
39,2024-02-16,March,Q3,2024
40,2024-02-20,March,Q2,2024
41,2024-08-20,September,Q4,2024
42,2024-05-20,February,Q3,2024
43,2024-06-21,January,Q2,2024
44,2024-04-06,November,Q2,2024
45,2024-01-28,November,Q4,2024
46,2024-07-06,September,Q3,2024
47,2024-02-14,October,Q2,2024
48,2024-01-29,October,Q4,2024
49,2024-06-03,October,Q2,2024
50,2024-09-03,January,Q1,2024
51,2024-10-16,September,Q3,2024
52,2024-03-26,June,Q3,2024
53,2024-06-29,August,Q1,2024
54,2024-03-06,September,Q3,2024
55,2024-09-08,June,Q4,2024
56,2024-05-20,March,Q2,2024
57,2024-02-05,October,Q4,2024
58,2024-04-30,November,Q4,2024
59,2024-07-25,January,Q4,2024
60,2024-07-07,December,Q1,2024
61,2024-03-25,September,Q4,2024
62,2024-05-14,March,Q4,2024
63,2024-07-13,August,Q2,2024
64,2024-01-20,December,Q4,2024
65,2024-05-11,August,Q4,2024
66,2024-04-05,October,Q4,2024
67,2024-10-15,November,Q4,2024
68,2024-01-27,July,Q2,2024
69,2024-01-29,November,Q3,2024
70,2024-05-13,April,Q3,2024
71,2024-02-17,July,Q3,2024
72,2024-07-05,May,Q2,2024
73,2024-08-05,February,Q3,2024
74,2024-09-16,February,Q4,2024
75,2024-04-22,July,Q1,2024
76,2024-07-12,February,Q1,2024
77,2024-05-11,December,Q1,2024
78,2024-01-05,July,Q1,2024
79,2024-05-17,September,Q4,2024
80,2024-06-15,September,Q3,2024
81,2024-09-27,March,Q3,2024
82,2024-09-26,September,Q3,2024
83,2024-10-11,May,Q2,2024
84,2024-04-17,January,Q4,2024
85,2024-04-30,October,Q3,2024
86,2024-06-03,February,Q4,2024
87,2024-09-30,August,Q1,2024
88,2024-05-20,January,Q1,2024
89,2024-10-18,April,Q1,2024
90,2024-09-26,November,Q4,2024
91,2024-09-26,October,Q3,2024
92,2024-01-14,March,Q2,2024
93,2024-06-18,August,Q3,2024
94,2024-01-26,February,Q2,2024
95,2024-08-12,February,Q1,2024
96,2024-08-08,January,Q1,2024
97,2024-02-15,June,Q2,2024
98,2024-05-13,July,Q4,2024
99,2024-08-18,April,Q1,2024
100,2024-08-19,September,Q1,2024
