transaction_id,store_id,product_id,date_id,customer_id,quantity_sold,total_sales
1,20,82,67,73,398,165.08
2,18,15,41,15,554,102.17
3,10,29,64,66,244,168.45
4,7,1,3,89,717,35.08
5,20,69,51,16,808,107.09
6,16,9,48,89,795,183.45
7,20,85,81,59,485,49.44
8,17,34,27,46,970,111.81
9,18,59,38,59,45,28.22
10,15,83,21,78,272,111.17
11,2,52,85,33,7,112.29
12,13,82,54,75,924,22.52
13,17,7,76,58,210,90.19
14,20,46,9,64,983,23.64
15,6,67,58,53,576,10.82
16,8,96,72,23,901,181.92
17,16,98,13,72,990,155.03
18,6,6,35,26,127,196.66
19,16,44,30,62,466,112.36
20,6,89,62,9,129,61.37
21,11,95,39,64,106,144.17
22,8,32,52,28,259,30.35
23,1,52,26,17,156,97.44
24,16,6,80,97,754,38.04
25,20,78,17,29,67,33.12
26,10,87,71,74,153,169.68
27,18,43,82,26,448,172.76
28,19,73,67,68,417,169.12
29,16,75,95,57,176,115.59
30,20,54,75,66,344,26.84
31,15,87,86,70,246,147.46
32,3,72,98,80,364,26.0
33,12,32,74,97,631,98.07
34,11,12,94,23,796,132.23
35,6,28,41,80,668,52.29
36,15,43,75,86,966,14.9
37,4,79,98,38,876,37.21
38,8,39,8,7,674,33.0
39,16,96,7,29,766,76.87
40,11,47,6,90,878,74.19
41,8,14,29,69,44,191.2
42,19,84,15,83,77,97.32
43,9,9,63,52,740,135.56
44,9,6,3,23,839,158.95
45,12,63,74,45,500,142.45
46,15,79,54,48,63,44.58
47,7,9,70,31,249,69.91
48,5,22,5,81,779,77.74
49,4,4,37,48,545,89.53
50,1,54,85,29,483,122.44
51,7,52,40,71,410,104.33
52,4,34,71,95,778,167.43
53,16,96,48,11,262,178.63
54,4,13,85,21,143,39.09
55,16,53,98,15,304,37.17
56,13,9,85,81,939,86.99
57,15,74,59,27,903,179.44
58,15,28,34,9,938,101.62
59,9,78,64,69,545,189.96
60,14,32,9,96,107,14.47
61,16,86,9,49,437,86.0
62,13,32,40,90,109,108.91
63,3,35,76,76,57,58.21
64,16,60,8,73,336,47.63
65,9,58,77,44,811,195.59
66,8,33,55,91,386,15.45
67,11,6,56,42,577,40.36
68,5,35,16,26,978,133.19
69,15,17,36,47,809,191.83
70,17,47,66,9,578,37.05
71,13,100,46,52,22,198.45
72,20,87,21,53,984,163.55
73,15,42,61,27,225,116.94
74,15,76,55,47,740,81.69
75,6,99,44,86,401,146.93
76,3,28,22,30,885,177.02
77,20,60,90,21,646,191.55
78,18,88,82,11,27,102.61
79,16,98,36,16,519,124.17
80,20,80,91,19,423,195.41
81,7,57,50,98,267,15.02
82,2,47,75,59,221,63.93
83,16,25,98,27,250,92.33
84,7,5,27,35,932,196.76
85,19,72,17,73,631,164.56
86,5,14,63,84,428,59.47
87,16,21,22,78,43,91.42
88,8,17,52,94,105,93.33
89,11,73,50,75,997,188.39
90,12,90,47,60,913,83.99
91,16,83,27,16,311,124.55
92,10,51,89,54,879,105.37
93,4,51,29,96,846,12.25
94,16,12,59,52,347,164.63
95,4,21,84,48,859,197.91
96,9,4,89,77,360,55.59
97,12,35,64,22,3,165.89
98,3,8,31,17,384,61.66
99,13,15,56,29,345,52.84
100,10,93,56,93,134,96.38
101,15,38,61,30,678,11.47
102,17,82,76,79,993,54.58
103,15,11,56,80,165,141.0
104,3,72,66,39,31,172.06
105,16,70,31,18,479,124.75
106,8,77,69,63,460,114.82
107,16,87,67,3,291,148.62
108,3,28,84,77,105,143.17
109,6,78,57,1,780,127.68
110,7,36,48,95,387,34.34
111,5,36,82,83,946,73.65
112,12,22,61,60,609,115.12
113,4,1,97,15,196,108.29
114,12,37,39,61,81,149.05
115,4,10,17,98,91,60.49
116,16,53,14,92,640,142.76
117,8,24,58,67,729,176.09
118,3,56,25,94,993,186.36
119,17,35,76,94,674,58.98
120,14,50,94,5,205,99.44
121,18,64,61,43,506,42.73
122,9,72,6,59,180,161.66
123,9,18,70,17,392,108.73
124,18,59,91,31,462,63.73
125,5,58,32,84,864,169.26
126,19,4,54,64,693,148.26
127,16,27,96,96,354,171.05
128,19,84,97,18,319,154.93
129,14,42,21,63,562,172.62
130,15,70,55,100,835,197.02
131,4,27,57,10,829,75.66
132,10,15,64,15,877,73.25
133,5,53,40,42,418,177.11
134,19,13,96,30,315,61.76
135,5,95,51,25,89,48.77
136,3,78,74,26,587,183.57
137,1,19,34,51,445,52.54
138,19,40,78,17,128,10.41
139,1,80,27,22,533,91.44
140,11,88,46,71,7,143.8
141,15,27,42,66,436,126.9
142,15,80,7,41,168,121.99
143,6,36,39,78,203,81.19
144,14,30,42,58,667,71.47
145,12,85,17,69,670,23.15
146,18,36,25,22,747,103.1
147,13,51,11,96,452,13.53
148,16,28,28,55,923,46.78
149,5,46,41,26,532,166.58
150,7,30,81,65,310,29.73
151,15,14,8,45,625,159.42
152,12,70,20,16,219,97.75
153,13,91,88,10,413,87.5
154,15,52,57,89,676,55.73
155,2,64,82,89,656,58.48
156,17,23,60,10,190,183.72
157,20,90,18,69,563,96.08
158,10,80,72,14,744,145.82
159,18,37,82,11,722,42.84
160,3,74,5,60,282,108.33
161,14,13,41,34,269,75.87
162,9,34,6,13,257,127.92
163,20,64,74,86,351,39.37
164,5,34,68,27,13,103.42
165,15,33,99,80,327,29.6
166,18,55,28,20,222,121.78
167,2,56,65,61,3,198.54
168,1,25,50,14,583,129.25
169,9,7,85,94,259,115.8
170,6,52,25,42,25,169.57
171,7,31,42,83,417,129.67
172,15,32,14,76,494,162.94
173,20,61,22,43,679,121.33
174,11,36,71,84,932,173.91
175,10,59,12,18,979,49.82
176,10,9,71,51,136,21.1
177,7,9,58,68,243,75.69
178,16,51,67,19,151,99.76
179,11,43,70,13,8,155.94
180,18,36,10,96,52,154.93
181,15,18,67,31,268,140.12
182,5,82,12,2,758,77.98
183,19,42,43,27,34,69.41
184,10,9,29,16,872,166.84
185,7,25,28,24,336,59.77
186,5,12,5,46,647,114.37
187,7,92,79,69,386,51.98
188,18,9,76,62,124,35.2
189,17,99,63,23,282,132.07
190,10,32,10,68,680,28.84
191,5,92,42,66,222,58.38
192,7,29,70,58,188,24.6
193,14,49,5,11,614,63.72
194,14,33,31,24,412,158.04
195,7,96,97,59,237,59.14
196,18,79,9,57,132,145.52
197,17,32,1,16,970,162.02
198,5,39,21,64,207,40.27
199,2,56,29,12,149,13.99
200,1,39,69,26,159,86.74
201,6,41,30,61,805,158.19
202,18,38,17,28,300,164.08
203,13,83,30,64,615,87.79
204,2,8,34,45,321,196.59
205,11,62,56,92,213,37.39
206,14,49,7,57,525,158.39
207,17,55,16,46,420,38.7
208,14,18,45,62,449,72.68
209,20,55,91,77,765,77.63
210,10,61,36,24,512,153.09
211,19,47,57,7,518,11.46
212,13,84,38,44,512,126.48
213,12,2,50,75,867,131.36
214,3,77,8,62,147,38.9
215,4,60,16,61,422,30.24
